CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
24.8359,0.0439133,-66.9617,2.75001,-6.35154,-65.0594,2.75001,8.62816,1.07765,2.75,-8.03964,0.0968298,2.81441,7.02834,
24.846,0.044144,-66.9619,2.75,-6.35092,-65.0594,2.75,8.62875,1.07716,2.75,-8.04076,0.098135,2.81846,7.02731,
24.8561,0.0443898,-66.9622,2.75001,-6.35017,-65.0594,2.75,8.62946,1.07667,2.74999,-8.04193,0.0995229,2.82264,7.02625,
24.8662,0.0446731,-66.9627,2.75,-6.34925,-65.0593,2.75,8.63032,1.07619,2.74999,-8.04309,0.100951,2.82699,7.02519,
24.8763,0.045004,-66.9632,2.74999,-6.34828,-65.0593,2.75001,8.63121,1.0757,2.75,-8.04428,0.102429,2.83147,7.0241,
24.8864,0.0453858,-66.9636,2.75001,-6.34759,-65.0592,2.74999,8.63184,1.07521,2.75,-8.04546,0.104076,2.8361,7.02304,
24.8965,0.0458375,-66.9638,2.75,-6.34693,-65.0592,2.75,8.63247,1.0747,2.75,-8.04666,0.105705,2.84084,7.02194,
24.9066,0.0463209,-66.9643,2.75,-6.34611,-65.0592,2.75,8.63323,1.07419,2.75,-8.04786,0.107263,2.84571,7.02085,
24.9167,0.0468569,-66.9648,2.75,-6.34521,-65.059,2.75001,8.63404,1.07365,2.74999,-8.04909,0.108798,2.85071,7.01972,
24.9268,0.0473959,-66.9653,2.75,-6.34442,-65.0589,2.74999,8.63475,1.07311,2.74999,-8.05031,0.110274,2.85587,7.01859,
24.9369,0.0479394,-66.9659,2.75001,-6.34358,-65.0587,2.75,8.6355,1.07257,2.75,-8.05157,0.111644,2.8612,7.01741,
24.947,0.0484651,-66.9664,2.75002,-6.34275,-65.0585,2.75,8.63623,1.07201,2.75,-8.05282,0.113151,2.86677,7.01625,
24.9571,0.0489611,-66.967,2.75,-6.34189,-65.0583,2.75,8.637,1.07144,2.75,-8.05412,0.11481,2.87257,7.01505,
